Афганистански,Afghanistan
Албански,Albania
Алжирски,Algeria
Андора,Andorra
Ангола,Angola
Ангилан,Anguilla
Аржентина,Argentina
Арменски,Armenia
Австралийски,Australia
Австрийски,Austria
Азербайджански,Azerbaijan
Бахамски,Bahamas
Бахрейн,Bahrain
Бангладеш,Bangladesh
Барбадоски,Barbados
Беларуски,Belarus
Белгийски,Belgium
Бенинезе,Benin
Бермудски,Bermuda
Бутански,Bhutan
Боливийски,Bolivia
Ботсванск,Botswana
Бразилски,Brazil
брунейски,Brunei
Български,Bulgaria
Бурунди,Burundi
Камбоджа,Cambodia
Камерунски,Cameroon
Канадски,Canada
Чадиан,Chad
Чилиец,Chile
Китайски,China
Колумбийски,Colombia
Костарикански,CostaRica
Хърватски,Croatia
Кубински,Cuba
Киприан,Cyprus
Датски,Denmark
Джибутски,Djibouti
Доминиканската,DominicanRepublic
Еквадорски,Ecuador
Египетски,Egypt
Салвадорската,ElSalvador
Еритрея,Eritrea
Естонски,Estonia
Етиопски,Ethiopia
Фиджи,Fiji
Финландски,Finland
Френски,France
Габонски,Gabon
гамбийско,Gambia
Грузински,Georgia
Немски,Germany
Гана,Ghana
Гибралтарска,Gibraltar
Гръцки,Greece
Гренадски,Grenada
Гватемалски,Guatemala
Гвинейските,Guinea
Гаянски,Guyana
Хаити,Haiti
Хиспаниолан,Haiti
Хондурас,Honduras
Унгарски,Hungary
Исландски,Iceland
Англо-индийски,India
Индонезийски,Indonesia
Ирански,Iran
Иракски,Iraq
Ирландски,Ireland
Израелски,Israel
Италиански,Italy
Ямайски,Jamaica
Японски,Japan
Йордански,Jordan
Казахстан,Kazakhstan
Кенийски,Kenya
Кувейтски,Kuwait
Киргизстан,Kyrgyzstan
Лаоски,Laos
Латвийски,Latvia
Ливански,Lebanon
Либерийски,Liberia
Либийски,Libya
Лихтенщайнер,Liechtenstein
Литовски,Lithuania
Люксембургски,Luxembourg
Македонски,Macedonia
Мадагаскар,Madagascar
Малавийска,Malawi
Малайзийски,Malaysia
Малиан,Mali
Малтийски,Malta
Мавритански,Mauritius
Мексикански,Mexico
Молдовска,Moldova
Монакан,Monaco
Монголски,Mongolia
Монголски,Mongolia
Марокански,Morocco
мозамбикски метикал,Mozambique
Бирма,Myanmar
Намибийски,Namibia
Науруан,Nauru
Непалски,Nepal
Холандски,Netherlands
Нов Каледониан,NewCaledonia
Нова Зеландия,NewZealand
Никарагуа,Nicaragua
Нигерийски,Nigeria
Севернокорейския,NorthKorea
Норвежки,Norway
Омански,Oman
Пакистански,Pakistan
Панамски,Panama
Парагвайски,Paraguay
Перуански,Peru
Филипински,Philippines
Полски,Poland
Португалски,Portugal
Катарски,Qatar
Румънски,Romania
Руски,Russia
Руанда,Rwanda
Самоански,Samoa
Сан Маринес,SanMarino
Саудитско-арабски,SaudiArabia
Сенегалски,Senegal
Сръбски,Serbia
Сейшелоза,Seychelles
сиералеонско леоне,SierraLeone
Сингапурски,Singapore
Словашки,Slovakia
Словенски,Slovenia
Сомалийски,Somalia
Южноафрикански,SouthAfrica
Южнокорейска,SouthKorea
Испански,Spain
Судан,Sudan
Свазиленд,Swaziland
Шведски,Sweden
Швейцарски,Switzerland
Сирийски,Syria
Тайвански,Taiwan
таджикистански с таджикистански с,Tajikistan
Танзания,Tanzania
Тайландски,Thailand
Тоголезки,Togo
Тонгански,Tonga
Тунизийски,Tunisia
Турски,Turkey
Туркменски,Turkmenistan
Уганда,Uganda
Украински,Ukraine
Уругвайски,Uruguay
узбекски с.,Uzbekistan
Венецуелец,Venezuela
Виетнамски,Vietnam
Йеменски,Yemen
Замбиец,Zambia
зимбабвийски,Zimbabwe